from,to,duration
87286302,87281139,6
87286302,87281444,12
87286302,87281469,7
87286302,87286179,8
87286302,87286203,5
87286302,87342279,9
87286302,87342295,6
87286401,87286005,19
87286401,87286096,4
87286401,87286419,3
87286419,87109306,8
87286419,87286005,25
87286419,87286401,3
87286419,87286427,2
87286419,87286435,4
87286427,87286419,3
87286427,87286435,3
87286435,87109306,13
87286435,87286419,4
87286435,87286427,4
87286435,87342436,8
87286435,87342469,5
87286435,87345280,6
87286500,87286518,4
87286500,87345256,4
87286518,87286005,11
87286518,87286500,4
87286518,87286526,4
87286518,87345256,5
87286526,87286518,4
87286526,87286534,4
87286534,87286005,7
87286534,87286526,4
87286542,87286732,2
87286567,87286575,4
87286567,87343103,4
87286575,87286567,4
87286575,87286583,3
87286583,87286005,16
87286583,87286575,3
87286583,87286609,4
87286583,87286625,5
87286583,87343103,8
87286609,87286583,5
87286609,87286625,4
87286625,87286005,12
87286625,87286583,5
87286625,87286609,4
87286625,87286641,4
87286625,87286849,6
87286625,87287276,3
87286641,87286625,4
87286641,87286849,4
87286641,87287276,3
87286716,87281055,2
87286716,87286005,9
87286716,87286732,3
87286732,87281055,3
87286732,87286005,10
87286732,87286542,4
87286831,87286005,8
87286831,87286062,2
87286831,87286856,2
87286831,87286864,3
87286831,87287102,4
87286849,87286005,8
87286849,87286625,6
87286849,87286641,4
87286849,87287128,4
87286856,87286831,2
87286856,87286864,2
87286864,87286005,9
87286864,87286831,3
87286864,87286856,2
87286864,87286872,5
87286872,87286831,7
87286872,87286864,5
87287102,87286005,6
87287102,87286062,2
87287102,87286831,3
87287128,87286005,6
87287128,87286849,4
87287151,87286146,4
87287151,87286161,4
87287169,87286005,24
87287169,87286229,6
87287193,87286245,12
87287193,87286260,8
87287250,87109306,3
87287250,87286005,7
87287276,87286625,4
87287276,87286641,3
87287292,87281410,4
87287292,87281428,4
87287300,87281428,5
87287300,87281436,4
87295006,87295014,7
87295006,87295535,3
87295006,87295568,3
87295006,87295600,9
87295006,87297515,4
87295014,87295006,6
87295014,87295022,4
87295022,87295014,5
87295022,87297515,3
87295048,87295055,4
87295048,87295063,11
87295048,87295709,6
87295048,87295733,10
87295048,87324335,21
87295055,87295048,4
87295055,87295063,6
87295055,87324335,5
87295063,87172007,60
87295063,87172544,18
87295063,87295048,8
87295063,87295055,6
87295063,87296129,17
87295063,87296145,7
87295063,87324335,2
87295220,87295600,15
87295220,87295642,8
87295220,87295667,5
87295220,87296004,20
87295220,87296244,7
87295535,87295006,3
87295535,87295543,2
87295543,87295535,2
87295543,87295568,3
87295568,87295006,4
87295568,87295543,3
87295568,87295600,6
87295600,87295006,11
87295600,87295220,15
87295600,87295568,5
87295600,87295642,8
87295600,87295733,9
87295600,87295774,7
87295600,87295790,4
87295600,87295808,4
87295600,87295857,11
87295600,87296004,30
87295600,87297523,6
87295600,87324335,24
87295642,87295220,7
87295642,87295600,11
87295642,87295667,4
87295642,87297523,5
87295667,87295220,6
87295667,87295642,4
87295709,87295048,6
87295709,87295725,5
87295709,87295733,5
87295725,87295709,5
87295725,87295733,2
87295733,87295048,11
87295733,87295600,10
87295733,87295709,5
87295733,87295725,2
87295733,87295774,14
87295733,87297531,3
87295733,87343004,26
87295774,87295600,14
87295774,87295790,5
87295774,87297531,3
87295790,87295600,4
87295790,87295774,4
87295808,87295600,5
87295808,87295857,8
87295857,87295600,11
87295857,87295808,9
87295857,87343004,11
87295857,87343210,9
87296004,87276691,33
87296004,87295220,21
87296004,87295600,31
87296004,87296244,17
87296004,87296293,9
87296004,87296418,8
87296004,87296442,12
87296004,87313494,20
87296012,87171751,11
87296012,87171769,7
87296012,87296095,21
87296012,87296152,7
87296012,87296178,5
87296012,87296566,11
87296012,87296632,13
87296012,87297150,18
87296012,87297291,8
87296095,87296012,20
87296095,87296129,13
87296095,87297143,8
87296095,87297150,3
87296129,87295063,19
87296129,87296095,13
87296129,87297085,7
87296145,87295063,8
87296145,87296129,12
87296145,87297085,5
87296152,87296012,9
87296152,87296608,6
87296178,87296012,6
87296178,87296566,9
87296244,87295220,6
87296244,87296004,16
87296244,87296269,4
87296244,87345546,5
87296244,87345561,8
87296269,87296004,33
87296269,87296244,5
87296269,87296293,4
87296293,87296004,10
87296293,87296269,4
87296418,87296004,9
87296418,87296434,4
87296434,87296418,5
87296434,87296442,4
87296434,87296871,6
87296442,87296004,13
87296442,87296434,4
87296442,87296616,6
87296442,87296632,5
87296442,87297051,4
87296442,87313494,14
87296459,87276782,6
87296459,87296616,6
87296566,87271817,12
87296566,87296012,11
87296566,87296178,9
87296566,87297283,4
87296608,87296152,6
87296608,87296632,5
87296616,87276782,10
87296616,87296442,6
87296616,87296459,6
87296616,87297051,3
87296632,87296012,15
87296632,87296442,6
87296632,87296608,5
87296871,87296434,5
87296871,87313494,6
87297051,87296442,5
87297051,87296616,3
87297085,87296129,7
87297085,87296145,5
87297119,87297143,7
87297119,87297291,3
87297143,87296012,16
87297143,87297119,7
87297143,87297150,4
87297150,87296095,5
87297150,87297143,4
87297283,87271874,8
87297283,87271882,5
87297283,87296566,5
87297291,87296012,10
87297291,87297119,3
87297515,87295006,4
87297515,87295022,4
87297523,87295600,8
87297523,87295642,5
87297531,87295733,2
87297531,87295774,4
87300863,87710731,6
87303875,87182345,2
87303875,87182352,2
87313049,87271007,60
87313049,87313213,4
87313049,87313221,9
87313049,87313270,23
87313049,87313320,13
87313049,87313874,6
87313056,87313049,28
87313056,87313072,9
87313056,87313874,11
87313056,87315044,3
87313056,87316059,4
87313064,87313056,6
87313064,87316059,3
87313064,87316067,3
87313072,87313056,9
87313072,87313064,6
87313072,87313874,18
87313072,87316067,4
87313072,87342014,18
87313072,87342030,8
87313072,87342048,10
87313080,87313098,6
87313080,87313379,10
87313080,87313395,15
87313080,87313874,3
87313080,87316075,4
87313080,87317362,22
87313098,87313080,6
87313098,87313106,5
87313098,87313122,11
87313098,87316075,3
87313106,87313098,4
87313106,87313114,6
87313114,87313106,6
87313114,87313122,6
87313122,87313098,11
87313122,87313114,6
87313122,87313130,6
87313122,87317362,12
87313130,87313122,7
87313130,87317362,8
87313213,87313049,4
87313213,87316109,5
87313213,87316125,5
87313221,87313049,9
87313221,87313213,8
87313221,87313239,5
87313221,87313247,9
87313221,87316109,5
87313239,87313221,5
87313239,87313247,6
87313247,87313221,9
87313247,87313239,6
87313247,87313262,6
87313247,87313270,10
87313262,87313247,6
87313262,87313270,6
87313270,87313049,22
87313270,87313247,9
87313270,87313262,7
87313270,87313288,4
87313270,87313296,5
87313270,87313304,9
87313288,87313270,4
87313288,87313296,3
87313288,87313304,7
87313296,87313270,6
87313296,87313288,4
87313296,87313304,6
87313304,87276006,10
87313304,87276212,5
87313304,87313270,9
87313304,87313288,8
87313304,87313296,6
87313320,87313049,13
87313320,87313338,7
87313320,87313346,12
87313320,87313874,17
87313320,87316125,5
87313338,87313320,7
87313338,87313346,7
87313346,87313320,12
87313346,87313338,7
87313346,87313353,7
87313346,87313387,15
87313353,87313346,7
87313353,87313387,10
87313353,87316208,6
87313379,87313080,10
87313379,87313395,7
87313387,87276691,12
87313387,87313346,15
87313387,87313353,10
87313387,87313403,4
87313387,87316208,6
87313395,87313080,15
87313395,87313379,7
87313395,87313759,11
87313395,87313841,8
87313395,87313874,42
87313403,87276691,8
87313403,87313387,5
87313437,87271775,18
87313437,87313445,5
87313437,87313460,10
87313437,87313874,12
87313445,87313437,5
87313445,87313460,7
87313460,87313437,10
87313460,87313445,7
87313460,87313478,6
87313478,87313460,6
87313478,87313486,7
87313486,87313478,7
87313486,87313494,8
87313494,87296004,20
87313494,87296442,13
87313494,87296871,7
87313494,87313486,8
87313494,87313874,35
87313510,87313585,10
87313510,87313601,5
87313510,87313684,8
87313510,87313692,8
87313544,87276618,3
87313544,87313551,4
87313551,87276006,21
87313551,87276618,6
87313551,87313544,4
87313551,87313569,4
87313551,87313577,6
87313569,87313551,3
87313569,87313577,4
87313577,87313551,6
87313577,87313569,4
87313577,87313585,7
87313577,87316398,5
87313585,87313510,12
87313585,87313577,7
87313585,87313593,3
87313585,87313601,6
87313585,87316398,3
87313593,87313585,3
87313593,87316406,3
87313601,87313510,7
87313601,87313585,7
87313601,87316406,3
87313668,87272096,4
87313668,87276717,7
87313668,87313676,6
87313668,87313684,11
87313676,87313668,6
87313676,87313684,6
87313684,87313510,10
87313684,87313668,11
87313684,87313676,6
87313692,87313510,10
87313692,87313700,3
87313700,87313692,4
87313700,87313718,3
87313718,87313700,4
87313718,87313726,5
87313726,87313718,6
87313726,87313734,10
87313734,87313726,9
87313734,87313742,7
87313742,87313734,7
87313742,87313759,7
87313759,87313395,11
87313759,87313742,5
87313759,87313767,13
87313759,87313833,4
87313759,87313841,5
87313759,87411470,13
87313767,87313759,13
87313767,87313809,25
87313809,87313767,25
87313809,87313817,10
87313817,87313809,10
87313817,87317537,20
87313833,87313759,5
87313833,87411470,10
87313841,87313395,9
87313841,87313759,6
87313874,87313049,4
87313874,87313056,9
87313874,87313072,15
87313874,87313080,2
87313874,87313320,15
87313874,87313437,11
87313874,87313494,36
87313874,87315044,7
87313874,87316125,13
87313874,87317362,22
87313874,87342014,32
87313874,87411017,115
87315044,87313056,3
87315044,87313874,10
87316059,87313056,5
87316059,87313064,3
87316067,87313064,3
87316067,87313072,6
87316075,87313080,5
87316075,87313098,3
87316109,87313213,5
87316109,87313221,5
87316125,87313213,5
87316125,87313320,5
87316125,87313874,14
87316208,87313353,6
87316208,87313387,6
87316398,87313577,5
87316398,87313585,3
87316406,87313593,2
87316406,87313601,3
87316679,87281071,10
87316679,87317321,4
87316687,87317321,4
87316687,87317339,4
87317016,87317123,4
87317016,87317339,9
87317016,87317586,2
87317057,87317065,7
87317057,87317362,38
87317057,87317404,11
87317065,87317057,7
87317065,87317081,5
87317065,87317099,8
87317065,87317586,15
87317081,87317065,5
87317081,87317099,4
87317099,87317065,9
87317099,87317081,4
87317099,87317107,4
87317107,87317099,4
87317107,87317115,3
87317107,87317586,6
87317115,87317107,3
87317115,87317586,4
87317123,87317016,7
87317123,87317339,7
87317263,87281071,8
87317263,87281428,12
87317263,87317305,3
87317263,87317339,16
87317263,87317586,28
87317305,87281071,5
87317305,87281246,15
87317305,87281410,7
87317305,87281428,10
87317305,87317263,4
87317305,87317610,5
87317321,87316679,4
87317321,87316687,4
87317321,87317339,7
87317339,87281071,13
87317339,87316687,4
87317339,87317016,14
87317339,87317123,7
87317339,87317263,20
87317339,87317321,7
87317362,87313080,22
87317362,87313122,11
87317362,87313130,6
87317362,87313874,23
87317362,87317396,9
87317396,87317362,9
87317396,87317404,7
87317404,87317057,10
87317404,87317396,7
87317529,87317537,15
87317537,87313817,20
87317537,87317529,15
87317586,87281071,24
87317586,87317016,2
87317586,87317065,14
87317586,87317107,6
87317586,87317115,5
87317586,87317263,32
87317586,87317339,12
87317610,87281246,11
87317610,87317305,4
87318964,87765008,4
87321745,87481689,2
87321745,87481705,2
87322347,87473850,3
87322347,87473876,5
87323675,87641001,3
87323675,87641415,9
87324095,87575001,8
87324095,87575142,12
87324095,87575217,2
87324095,87575225,3
87324335,87295048,21
87324335,87295055,6
87324335,87295063,3
87328021,87615344,7
87328021,87615476,6
87328195,87574855,7
87328195,87574897,6
87334490,87471003,6
87334490,87471540,5
87334508,87471003,6
87334508,87471029,7
87337378,87444406,5
87337378,87444414,3
87338517,87212027,7
87338517,87212308,3
87338517,87212316,5
87338517,87212332,9
87338525,87212027,5
87342006,87342139,4
87342006,87342204,5
87342006,87342238,9
87342006,87342402,5
87342006,87342410,7
87342006,87342436,9
87342014,87223263,22
87342014,87313072,19
87342014,87313874,37
87342014,87342048,10
87342014,87342071,5
87342014,87342089,6
87342014,87342097,8
87342014,87342188,10
87342014,87342337,33
87342014,87342576,9
87342014,87342584,11
87342014,87342592,7
87342014,87345009,13
87342014,87345025,13
87342030,87313072,8
87342030,87342048,5
87342048,87313072,10
87342048,87342014,10
87342048,87342030,5
87342048,87342063,4
87342063,87342048,4
87342063,87342071,4
87342071,87342014,8
87342071,87342063,5
87342089,87342014,8
87342089,87342097,4
87342097,87342014,8
87342097,87342089,4
87342097,87342113,3
87342105,87342121,4
87342105,87342139,5
87342105,87345025,6
87342105,87345041,3
87342113,87342097,3
87342113,87345108,3
87342121,87342105,3
87342121,87342139,3
87342139,87342006,4
87342139,87342105,5
87342139,87342121,4
87342188,87342014,11
87342188,87342212,5
87342188,87342246,7
87342204,87342006,3
87342204,87342220,4
87342212,87342188,5
87342212,87342246,4
87342220,87342204,4
87342220,87342238,5
87342238,87342006,9
87342238,87342220,6
87342238,87342261,4
87342238,87342279,5
87342246,87342188,7
87342246,87342212,4
87342246,87342253,3
87342246,87342337,16
87342253,87342246,3
87342253,87342303,4
87342261,87342238,4
87342261,87342279,3
87342279,87286302,11
87342279,87342238,5
87342279,87342261,3
87342279,87342287,4
87342287,87342279,3
87342287,87342295,4
87342295,87286302,8
87342295,87342287,4
87342303,87342246,6
87342303,87342253,5
87342303,87342337,13
87342337,87342014,33
87342337,87342246,15
87342337,87342303,12
87342402,87342006,7
87342402,87342410,4
87342410,87342006,7
87342410,87342402,4
87342410,87342436,5
87342436,87109306,17
87342436,87286435,7
87342436,87342006,10
87342436,87342410,5
87342436,87342451,4
87342451,87342436,3
87342451,87342469,3
87342469,87286435,4
87342469,87342451,3
87342527,87342576,3
87342527,87342592,3
87342576,87342014,11
87342576,87342527,3
87342576,87342584,3
87342584,87342014,13
87342584,87342576,3
87342584,87345025,3
87342592,87342014,10
87342592,87342527,4
87343004,87295733,26
87343004,87295857,12
87343004,87343103,8
87343004,87343160,3
87343004,87343210,3
87343004,87343319,5
87343004,87343400,5
87343103,87286567,4
87343103,87286583,8
87343103,87343004,9
87343160,87343004,5
87343160,87343319,3
87343210,87295857,9
87343210,87343004,4
87343301,87343319,6
87343301,87345314,7
87343319,87343004,6
87343319,87343160,3
87343319,87343301,6
87343400,87343004,6
87343400,87343418,3
87343418,87343400,4
87343418,87343459,9
87343459,87343418,7
87343459,87343475,6
87343475,87343459,6
87343475,87345389,5
87345009,87286005,19
87345009,87313874,110
87345009,87342014,14
87345009,87345108,5
87345009,87345116,5
87345009,87345207,3
87345009,87345249,7
87345009,87345306,7
87345009,87345405,3
87345009,87345520,26
87345025,87342014,16
87345025,87342105,5
87345025,87342584,5
87345025,87345033,4
87345025,87345041,6
87345025,87345124,4
87345025,87345132,5
87345025,87345140,6
87345025,87345157,8
87345025,87345215,4
87345025,87345264,7
87345033,87345025,4
87345033,87345041,3
87345041,87342105,3
87345041,87345025,5
87345041,87345033,3
87345108,87342113,2
87345108,87345009,6
87345108,87345116,3
87345116,87345009,6
87345116,87345108,3
87345124,87345025,5
87345124,87345132,3
87345132,87345025,7
87345132,87345124,3
87345132,87345140,3
87345132,87345157,5
87345140,87345025,8
87345140,87345132,3
87345140,87345157,3
87345157,87345025,10
87345157,87345132,5
87345157,87345140,3
87345157,87345165,4
87345157,87345256,8
87345165,87345157,3
87345165,87345249,4
87345165,87345256,6
87345207,87345009,5
87345207,87345223,4
87345215,87345025,6
87345215,87345231,3
87345215,87345264,5
87345223,87345207,4
87345223,87345249,3
87345231,87345215,3
87345231,87345264,5
87345249,87345009,9
87345249,87345165,4
87345249,87345223,3
87345249,87345256,5
87345256,87286005,30
87345256,87286500,4
87345256,87286518,6
87345256,87345157,8
87345256,87345165,6
87345256,87345249,4
87345264,87345025,9
87345264,87345215,5
87345264,87345231,4
87345264,87345272,4
87345264,87345280,5
87345272,87345264,4
87345272,87345280,3
87345280,87286435,5
87345280,87345264,5
87345280,87345272,3
87345306,87345009,7
87345306,87345314,6
87345314,87343301,8
87345314,87345306,5
87345314,87345520,22
87345389,87343475,4
87345389,87345397,5
87345397,87345389,5
87345397,87345496,5
87345397,87345520,17
87345405,87345009,4
87345405,87345413,5
87345413,87345405,5
87345413,87345421,4
87345413,87345447,7
87345421,87345413,3
87345421,87345439,3
87345421,87345447,4
87345439,87345421,3
87345439,87345447,3
87345447,87345421,4
87345447,87345439,3
87345447,87345520,12
87345496,87345397,5
87345496,87345520,8
87345520,87345009,24
87345520,87345314,20
87345520,87345397,17
87345520,87345447,10
87345520,87345496,6
87345520,87345561,11
87345520,87345595,17
87345546,87345553,3
87345553,87296244,6
87345553,87345561,6
87345561,87296244,8
87345561,87345520,12
87345561,87345553,4
87345561,87345587,5
87345587,87345561,6
87345587,87345595,3
87345595,87345520,8
87345595,87345587,3
87352047,87715326,3
87352047,87715383,12
87353573,87446179,3
87353573,87611939,3
87353581,87353599,3
87353581,87611467,3
87353599,87353581,3
87353599,87611939,2
87354589,87354597,3
87354589,87481002,5
87354597,87354589,3
87354597,87481408,3
87381509,87381624,8
87381509,87384008,36
87381509,87387001,24
87381509,87415604,13
87381509,87415885,5
87381509,87444000,80
87381624,87381509,9
87381624,87387092,6
87384008,87381509,34
87384008,87387001,55
87384008,87411017,70
87384008,87415604,48
87384008,87444000,119
87384008,87444299,88
87386540,87182386,2
87386540,87182394,2
87387001,87384008,60
87387001,87387092,13
87387001,87387142,6
87387001,87444299,26
87387092,87381624,5
87387092,87387001,15
87387142,87387001,7
87387142,87387159,6
87387159,87387142,6
87387159,87387175,5
87387175,87387159,5
87387175,87387183,7
87387183,87387175,7
87387183,87444315,5
87391003,87393009,11
87391003,87393314,57
87391003,87393488,45
87391003,87393595,62
87391003,87394007,100
87391003,87444638,72
87391102,87393009,14
87391102,87393488,46
87391102,87393595,76
87391300,87718015,5
87391300,87718502,4
87393009,87391003,13
87393009,87391102,13
87393009,87393314,17
87393009,87393488,35
87393009,87394007,84
87393009,87394114,23
87393256,87393314,19
87393256,87394007,62
87393314,87391003,60
87393314,87393009,16
87393314,87393348,5
87393314,87394114,8
87393348,87393314,5
87393348,87394114,5
87393488,87391003,49
87393488,87391102,48
87393488,87393009,35
87393488,87393553,9
87393488,87393595,18
87393553,87393488,9
87393553,87393595,12
87393595,87391003,66
87393595,87393488,19
87393595,87393553,12
87393595,87444638,13
87394007,87391003,100
87394007,87393009,44
87394007,87393314,50
87394007,87394015,3
87394007,87394130,10
87394007,87394171,4
87394007,87394205,5
87394007,87394221,9
87394007,87545707,23
87394015,87394007,4
87394015,87394403,7
87394015,87394411,11
87394114,87391003,41
87394114,87393314,8
87394114,87393348,6
87394114,87394130,6
87394130,87394007,10
87394130,87394114,6
87394130,87394148,4
87394148,87394130,4
87394148,87394155,4
87394155,87394148,4
87394155,87394171,4
87394171,87394007,6
87394171,87394155,4
87394205,87394007,6
87394205,87394213,4
87394213,87394205,4
87394213,87394221,6
87394221,87394007,11
87394221,87394213,6
87394221,87394247,6
87394221,87394254,10
87394247,87394221,6
87394247,87394254,7
87394254,87394221,10
87394254,87394247,8
87394254,87394270,7
87394254,87394296,13
87394270,87394254,8
87394270,87394288,5
87394288,87394270,5
87394288,87394296,6
87394296,87394254,12
87394296,87394288,5
87394296,87396325,12
87394296,87396333,6
87394403,87394015,6
87394403,87394411,6
87394411,87394015,20
87394411,87394403,5
87394411,87394429,5
87394411,87394437,8
87394429,87394411,5
87394429,87394437,4
87394437,87394411,7
87394437,87394429,4
87394437,87394452,9
87394452,87394437,8
87394452,87394486,10
87394452,87394494,25
87394486,87394452,11
87394486,87394494,4
87394494,87394452,25
87394494,87394486,3
87396002,87394296,30
87396002,87396028,8
87396002,87396036,13
87396002,87396044,16
87396002,87396200,10
87396002,87396218,11
87396002,87396234,17
87396002,87396275,6
87396002,87396309,11
87396002,87396358,7
87396002,87396366,10
87396002,87396408,20
87396002,87396549,6
87396002,87396564,12
87396002,87396606,30
87396002,87444711,37
87396028,87396002,9
87396028,87396036,6
87396036,87396028,5
87396036,87396044,5
87396044,87396002,13
87396044,87396036,4
87396044,87396051,4
87396044,87396077,8
87396051,87396044,4
87396051,87396077,7
87396077,87396044,8
87396077,87396051,6
87396077,87396093,8
87396077,87444711,17
87396093,87396077,8
87396093,87444711,12
87396200,87396002,11
87396200,87396218,4
87396218,87396002,13
87396218,87396200,4
87396218,87396226,5
87396218,87396234,7
87396226,87396218,5
87396226,87396234,5
87396234,87396002,18
87396234,87396218,7
87396234,87396226,5
87396234,87396259,5
87396234,87478552,12
87396234,87478560,9
87396259,87396234,5
87396259,87478552,10
87396259,87478560,6
87396275,87396002,8
87396275,87396283,3
87396283,87396275,2
87396283,87396291,3
87396291,87396283,3
87396291,87396309,6
87396309,87396002,14
87396309,87396291,6
87396309,87396317,7
87396309,87396325,10
87396317,87396309,6
87396317,87396325,6
87396325,87394296,13
87396325,87396309,10
87396325,87396317,6
87396325,87396333,7
87396333,87394296,8
87396333,87396325,7
87396358,87396002,9
87396358,87396366,5
87396366,87396002,11
87396366,87396358,5
87396366,87396374,6
87396366,87396408,15
87396374,87396366,7
87396374,87396408,11
87396408,87396002,22
87396408,87396366,14
87396408,87396374,9
87396408,87478404,22
87396408,87484006,23
87396408,87484170,8
87396549,87396002,8
87396549,87396556,6
87396556,87396549,6
87396556,87396564,6
87396564,87396002,14
87396564,87396556,6
87396564,87396580,6
87396564,87396606,16
87396572,87396580,7
87396572,87396598,5
87396580,87396564,6
87396580,87396572,7
87396598,87396572,5
87396598,87396606,7
87396606,87396002,30
87396606,87396564,17
87396606,87396598,6
87396606,87571000,31
87396606,87571240,31
87396606,87571547,12
87396606,87571554,9
87396895,87734004,4
87396895,87734038,6
87400986,87171322,4
87400986,87171330,4
87401323,87757625,30
87401323,87757724,9
87401323,87757732,6
87402297,87181222,2
87402297,87182345,2
87411017,87384008,77
87411017,87411173,14
87411017,87411207,8
87411017,87411223,7
87411017,87411249,5
87411017,87411264,10
87411017,87411439,13
87411017,87411454,25
87411017,87411801,10
87411017,87413013,46
87411017,87413385,19
87411017,87444000,100
87411173,87411017,16
87411173,87411181,5
87411173,87411207,9
87411173,87415323,9
87411173,87444299,32
87411173,87444315,27
87411181,87411173,7
87411181,87411207,3
87411207,87411017,9
87411207,87411173,10
87411207,87411181,4
87411207,87411215,4
87411207,87415661,6
87411207,87415877,8
87411215,87411207,4
87411215,87411223,4
87411223,87411017,8
87411223,87411215,7
87411249,87411017,7
87411249,87411256,3
87411256,87411249,4
87411256,87411264,6
87411256,87411801,6
87411264,87411017,14
87411264,87411256,7
87411264,87411272,2
87411272,87411264,2
87411272,87411280,7
87411272,87413385,11
87411280,87411272,8
87411280,87413385,7
87411439,87411017,14
87411439,87411447,4
87411439,87411454,8
87411447,87411017,19
87411447,87411439,4
87411447,87411454,5
87411454,87411017,23
87411454,87411439,8
87411454,87411447,5
87411454,87411462,7
87411454,87411470,12
87411462,87411454,6
87411462,87411470,7
87411470,87313759,12
87411470,87313833,9
87411470,87411454,12
87411470,87411462,7
87411801,87411017,11
87411801,87411256,6
87411801,87411819,6
87411819,87411801,5
87411819,87415158,10
87411819,87415166,8
87413013,87411017,45
87413013,87413203,3
87413013,87413302,5
87413013,87413328,9
87413013,87413344,15
87413203,87413013,5
87413203,87413708,3
87413302,87413013,6
87413302,87413310,5
87413310,87413302,5
87413310,87413328,8
87413328,87413013,11
87413328,87413310,6
87413328,87413344,7
87413344,87413013,14
87413344,87413328,6
87413344,87413377,8
87413344,87413385,13
87413344,87413542,20
87413377,87413344,8
87413377,87413385,7
87413385,87411017,22
87413385,87411272,12
87413385,87411280,5
87413385,87413344,13
87413385,87413377,7
87413542,87413344,21
87413708,87413203,4
87413708,87413716,4
87413716,87413708,4
87413716,87413724,3
87413724,87413716,3
87413724,87413732,5
87413732,87413724,6
87413732,87413740,5
87413740,87413732,4
87415018,87415125,5
87415018,87415158,15
87415125,87415018,7
87415125,87415141,7
87415141,87415125,10
87415141,87415158,10
87415158,87411819,10
87415158,87415018,16
87415158,87415141,9
87415158,87415166,7
87415166,87411819,8
87415166,87415158,6
87415323,87411173,10
87415323,87415364,14
87415364,87415323,14
87415364,87444315,7
87415604,87381509,14
87415604,87384008,54
87415604,87415620,9
87415604,87415893,6
87415620,87415604,8
87415620,87415877,12
87415661,87411207,6
87415661,87415877,6
87415877,87411207,8
87415877,87415620,11
87415877,87415661,6
87415885,87381509,6
87415885,87415893,5
87415893,87415604,7
87415893,87415885,5
87417444,87171009,3
87417444,87171272,3
87417501,87747402,6
87417501,87747451,4
87437798,87485003,5
87437806,87485003,4
87437806,87485102,3
87439554,87751008,16
87439554,87753004,15
87439554,87753251,4
87439554,87753285,4
87444000,87381509,85
87444000,87384008,120
87444000,87411017,100
87444000,87444042,8
87444000,87444067,15
87444000,87444182,6
87444000,87444208,13
87444000,87444265,23
87444000,87444539,59
87444000,87448514,90
87444042,87444000,9
87444042,87444059,5
87444059,87444042,5
87444059,87444067,7
87444067,87444000,16
87444067,87444059,7
87444067,87444083,9
87444067,87447219,14
87444083,87444067,8
87444083,87447219,8
87444182,87444000,7
87444182,87444190,5
87444190,87444182,5
87444190,87444208,7
87444208,87444000,13
87444208,87444190,6
87444208,87444216,6
87444208,87444265,13
87444208,87444539,23
87444216,87444208,6
87444216,87444539,20
87444265,87384008,101
87444265,87444000,24
87444265,87444208,13
87444265,87444299,14
87444265,87444323,1
87444265,87444349,11
87444299,87387001,25
87444299,87411173,31
87444299,87444265,15
87444299,87444315,7
87444315,87387001,50
87444315,87387183,4
87444315,87415364,7
87444315,87444299,7
87444323,87444265,3
87444323,87444349,10
87444349,87444265,11
87444349,87444323,10
87444349,87444372,9
87444372,87444349,8
87444372,87444380,7
87444380,87444372,10
87444380,87444398,4
87444398,87444380,4
87444398,87444406,11
87444406,87337378,5
87444406,87444398,10
87444414,87337378,1
87444539,87444000,38
87444539,87444208,24
87444539,87444216,19
87444539,87444562,8
87444539,87444638,28
87444539,87444695,15
87444539,87444711,26
87444539,87448001,24
87444539,87448084,16
87444562,87444539,9
87444562,87444604,14
87444562,87444638,20
87444562,87444695,7
87444604,87444562,14
87444604,87444638,9
87444638,87391003,76
87444638,87393595,13
87444638,87444539,28
87444638,87444562,19
87444638,87444604,10
87444695,87444539,13
87444695,87444562,6
87444695,87444711,13
87444711,87396002,32
87444711,87396077,16
87444711,87396093,10
87444711,87444539,45
87444711,87444695,11
87444877,87447284,14
87446179,87353573,1
87446179,87497461,4
87446179,87611467,5
87446179,87611939,4
87447003,87447110,22
87447003,87447219,12
87447110,87447003,20
87447110,87447649,30
87447110,87447680,27
87447219,87444067,13
87447219,87444083,8
87447219,87447003,13
87447219,87447243,10
87447243,87447219,10
87447243,87447284,13
87447284,87444877,15
87447284,87447243,14
87447649,87447110,30
87447649,87447680,11
87447649,87447698,9
87447649,87448514,13
87447680,87447110,26
87447680,87447649,9
87447680,87447698,16
87447680,87448514,30
87447698,87447649,10
87447698,87447680,18
87447698,87448159,15
87448001,87444539,25
87448001,87448084,11
87448001,87448159,16
87448084,87444539,16
87448084,87448001,11
87448084,87448092,7
87448092,87448084,9
87448159,87447698,14
87448159,87448001,16
87448514,87444000,89
87448514,87447649,13
87448514,87447680,30
87448514,87478263,17
87462085,87746784,2
87462085,87746818,2
87471003,87159947,6
87471003,87334490,4
87471003,87334508,4
87471003,87471037,7
87471003,87471052,4
87471003,87471060,8
87471003,87471078,12
87471003,87471086,16
87471003,87471102,10
87471003,87471300,33
87471003,87471391,4
87471003,87471508,18
87471003,87471524,12
87471003,87473108,38
87471003,87481002,75
87471029,87334508,6
87471029,87471318,5
87471037,87159947,3
87471037,87471003,9
87471037,87471144,6
87471037,87471151,7
87471037,87471185,13
87471045,87471391,7
87471045,87471458,4
87471052,87159947,3
87471052,87471003,7
87471060,87471003,10
87471060,87471102,5
87471078,87471003,15
87471078,87471086,7
87471078,87471102,4
87471078,87473058,11
87471086,87471003,19
87471086,87471078,7
87471086,87471094,5
87471086,87473058,7
87471086,87473066,8
87471094,87471078,9
87471094,87471086,4
87471094,87473058,5
